,356.,2018-02-25 02:22:55,48.81,98%,"If you really want to hear about it, the first thing you'll ...",No win (5 of 5)
30,325.0,2014-10-28 07:48:57,57.84,94%,Good games offer players a set of challenging problems and t...,No win (3 of 5)
31,324.0,2014-10-28 07:48:06,59.04,99%,I know that you weren't bored that day because there was a l...,No win (3 of 3)
32,323.0,2014-10-28 07:46:31,58.5,98%,There is a theory which states that if anybody ever discover...,Win (1 of 4)
33,322.0,2014-10-28 07:45:17,53.33,96%,Overhead the albatross hangs motionless upon the air and dee...,No win (3 of 5)
34,321.0,2014-10-28 07:44:09,52.96,95%,Most popular song lyrics have two sections - a verse and a b...,No win (2 of 5)
35,320.0,2014-09-21 12:43:49,55.32,92%,"Life is not suffering; it's just that you will suffer it, ra...",No win (2 of 4)
36,319.0,2014-09-19 15:22:07,61.33,97%,"You have a class of young strong men and women, and they wan...",No win (3 of 4)
37,318.0,2014-09-19 15:20:56,53.75,94%,"Ezekiel twenty-five, seventeen: The path of the righteous ma...",Win (1 of 3)
38,317.0,2014-09-19 15:19:27,55.31,95%,"Throughout my academic career, I'd given some pretty good ta...",Win (1 of 5)
39,316.0,2014-09-19 15:18:31,57.19,94%,"The brain can be a tool. It can recall phone numbers, solve ...",No win (4 of 5)
40,315.0,2014-07-29 07:40:14,49.43,92%,"First of all, you must be comfortable, otherwise it will be ...",No win (5 of 5)
41,314.0,2014-07-29 07:39:03,53.1,98%,And then he calls me a jerk and says the last guy who though...,Win (1 of 2)
42,313.0,2014-07-29 07:37:50,59.01,97%,The pathology of setting a deadline to the earliest articula...,No win (2 of 2)
43,312.0,2014-07-13 15:23:33,51.52,95%,"First, the layer of dough bakes into bread, a low-water-cont...",No win (2 of 4)
44,311.0,2014-07-13 15:21:49,57.06,96%,It was one of those days when it's a minute away from snowin...,No win (3 of 5)
45,310.0,2014-06-29 10:39:10,49.96,94%,I remember when we used to sit in the government yard in Tre...,Win (1 of 3)
46,309.0,2014-06-29 10:37:39,53.83,97%,"I'm so glad you came, I'm so glad you remembered, to see how...",Win (1 of 2)
47,308.0,2014-06-07 02:46:47,55.73,97%,"The creation ends in South Georgia, at the very edge of the ...",No win (4 of 4)
48,307.0,2014-06-07 02:45:05,59.07,99%,There are still some places where you can get all you can ea...,Win (1 of 2)
49,306.0,2014-06-07 02:43:16,52.52,96%,"All Ninja are men of peace, and must always remain so or los...",Win (1 of 3)
50,305.0,2014-04-18 15:06:59,55.5,98%,"Ever since I was a child, folks have thought they had me peg...",No win (2 of 4)
51,304.0,2014-04-18 15:06:11,53.52,95%,"The time I waited seemed endless, and I felt doubts and fear...",No win (2 of 4)
52,303.0,2014-04-18 15:04:50,53.57,96%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 2)
53,302.0,2014-02-22 03:19:09,49.16,93%,"Samatha is a state in which the mind is brought to rest, foc...",No win (2 of 3)
54,301.0,2014-02-22 03:17:36,52.79,97%,Since every piece of matter in the Universe is in some way a...,No win (3 of 4)
55,300.0,2014-02-22 03:16:03,55.8,96%,Remember that humor is written backwards. That means you fir...,No win (2 of 3)
56,299.0,2014-02-22 03:15:14,53.71,97%,"I'll miss the sea, but a person needs new experiences. They ...",No win (3 of 5)
57,298.0,2014-02-22 03:14:11,51.39,98%,"The Orient was almost a European invention, and had been sin...",No win (3 of 3)
58,297.0,2014-02-22 03:12:38,55.46,96%,To an outsider's ear it sounds absurdly wild and ridiculous ...,No win (3 of 4)
59,296.0,2014-02-22 03:10:15,55.24,97%,He had spent enormous amounts of time at the great libraries...,No win (2 of 5)
60,295.0,2014-02-22 03:07:26,56.93,97%,The theory of music emphasizes the elements from which music...,Win (1 of 4)
61,294.0,2014-02-22 03:06:05,55.05,98%,"There is no physical separation after the slicing, so that e...",Win (1 of 4)
62,293.0,2014-02-22 03:04:47,53.15,97%,There was a stage and a PA up in western Massachusetts and t...,No win (4 of 5)
63,292.0,2014-02-22 03:03:09,48.33,97%,In 1969 four computers located around the country were in co...,No win (3 of 5)
64,291.0,2014-02-22 03:00:32,51.9,97%,"To some, the rules of etiquette may seem outdated, stuffy an...",No win (2 of 4)
65,290.0,2014-02-15 05:38:21,53.66,96%,You're going in the drink and I am going to make a cup of te...,No win (3 of 3)
66,289.0,2014-02-15 05:37:05,51.72,97%,"The boy has not a real choice, has he? Self-interest, the fe...",No win (2 of 2)
67,288.0,2014-02-15 05:35:33,59.34,98%,She's got eyes of the bluest skies as if they thought of rai...,No win (2 of 3)
68,287.0,2014-01-04 05:39:18,45.36,97%,"Historian James C. Cobb has described southern identity as ""...",No win (4 of 4)
69,286.0,2014-01-04 05:37:53,50.33,98%,Involuntarily I glanced seaward - and distinguished nothing ...,No win (2 of 3)
70,285.0,2013-12-04 03:19:03,49.84,96%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 2)
71,284.0,2013-12-04 03:17:16,58.85,97%,It was one of those days when it's a minute away from snowin...,No win (2 of 3)
72,283.0,2013-12-04 03:15:36,54.33,97%,"Two households, both alike in dignity (in fair Verona, where...",No win (2 of 5)
73,282.0,2013-12-04 03:13:51,64.07,100%,Images of broken light which dance before me like a million ...,No win (4 of 5)
74,281.0,2013-11-21 06:52:13,49.14,94%,The invention of the wheel represented a major turning point...,No win (5 of 5)
75,280.0,2013-11-21 06:50:47,55.97,96%,"And in the world a heart of darkness, a firezone, where poet...",No win (3 of 4)
76,279.0,2013-11-21 06:49:16,55.05,96%,We sit silently and watch the world around us. This has take...,No win (4 of 5)
77,278.0,2013-08-04 10:06:02,55.79,96%,Don't make assumptions - find the courage to ask questions a...,No win (2 of 3)
78,277.0,2013-08-04 10:04:24,53.71,96%,"Thirdly, however, these wars could now be waged with the new...",No win (4 of 4)
79,276.0,2013-08-04 10:02:42,57.97,98%,It is possible that I already had some presentiment of my fu...,No win (2 of 4)
80,275.0,2013-08-04 10:00:58,48.94,96%,I had a friend who was a heavy drinker. If somebody asked hi...,No win (2 of 3)
81,274.0,2013-08-04 09:59:29,59.18,98%,Always do your best - your best is going to change from mome...,Win (1 of 2)
82,273.0,2013-08-04 09:57:48,59.22,97%,Humans need to practice what they are learning a good deal b...,No win (3 of 3)
83,272.0,2013-08-04 09:56:41,40.97,95%,"So, I'm tending bar there at Ecklund & Swedlin's last Tu...",No win (3 of 4)
84,271.0,2013-08-04 09:54:36,57.73,96%,And when he rode past I seen he was carryin' fire in a horn ...,No win (2 of 3)
85,270.0,2013-08-04 09:51:41,52.59,97%,"Two households, both alike in dignity (in fair Verona, where...",No win (3 of 5)
86,269.0,2013-08-02 04:32:14,57.43,97%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 4)
87,268.0,2013-08-02 04:31:09,49.57,96%,We began to recognize in them a strange obsession. After all...,No win (2 of 2)
88,267.0,2013-07-18 05:04:15,53.07,98%,"I'd been walking for hours and, as usual, I'd lost track of ...",No win (3 of 4)
89,266.0,2013-07-18 05:02:29,61.28,98%,I have quit three jobs and been fired from all the rest. Get...,Win (1 of 5)
90,265.0,2013-07-18 05:01:24,50.44,97%,The inner surface of the cell wall touches the cytoplasmic m...,No win (2 of 3)
91,264.0,2013-07-18 04:58:06,52.75,97%,I think you're gonna find - when all this stuff is over and ...,No win (2 of 3)
92,263.0,2013-04-26 11:04:10,42.94,96%,"One respondent said ""For women - a lot of games are crap - t...",No win (3 of 4)
93,262.0,2013-02-16 06:08:42,48.05,96%,He managed to open the cupboard door with his nose and found...,No win (2 of 4)
94,261.0,2013-02-16 06:07:28,52.7,94%,Some drivers actually perform best when there is a little ex...,No win (3 of 4)
95,260.0,2013-02-16 06:06:11,47.16,91%,"It's a blue savanna song: somewhere cross the desert, someti...",No win (4 of 4)
96,259.0,2013-02-16 06:04:55,54.53,97%,Gardeners know how to grow top-notch crops. They determine w...,No win (3 of 5)
97,258.0,2013-02-16 06:03:15,57.31,97%,"Some pilots like the excitement of our missions, knowing tha...",Win (1 of 4)
98,257.0,2013-02-16 06:01:54,57.68,96%,I still see things that are not here. I just choose not to a...,Win (1 of 3)
99,256.0,2013-02-16 06:00:17,58.38,98%,The theory of music emphasizes the elements from which music...,Win (1 of 4)
100,255.0,2012-10-27 11:47:49,46.18,96%,"A lot of people, especially this one psychoanalyst guy they ...",Win (1 of 2)
101,254.0,2012-10-27 11:45:58,46.54,95%,I suddenly had the impression that I had been left all alone...,No win (3 of 5)
102,253.0,2012-08-25 08:55:41,47.98,94%,"First of all, you must be comfortable, otherwise it will be ...",No win (3 of 5)
103,252.0,2012-08-25 08:54:33,52.98,94%,Data is by definition easy to copy. And the Internet makes c...,Win (1 of 3)
104,251.0,2012-08-22 12:18:25,49.22,96%,"Do you smell that? Napalm, son. Nothing else in the world sm...",No win (2 of 2)
105,250.0,2012-08-16 13:15:16,50.74,95%,"Picking up the pieces, half alive in a nine 'til five, vacan...",No win (2 of 4)
106,249.0,2012-08-16 13:13:11,50.25,99%,"My dog barks some. Mentally you picture my dog, but I have n...",No win (2 of 5)
107,248.0,2012-08-16 13:11:58,59.33,98%,"Look and think as far ahead as possible. Often, a driver's n...",No win (4 of 5)
108,247.0,2012-08-16 13:10:35,50.93,97%,Glancing through the 1977 Atlanta Yellow Pages reveals a cit...,Win (1 of 3)
109,246.0,2012-06-18 13:28:42,53.25,95%,Involuntarily I glanced seaward - and distinguished nothing ...,No win (5 of 5)
110,245.0,2012-06-18 13:27:04,58.25,96%,"I had a dream. There was our world, and the world was dark b...",No win (3 of 4)
111,244.0,2012-06-18 13:25:19,57.22,96%,"One day you're in a funk about things, telling a friend that...",No win (3 of 4)
112,243.0,2012-06-15 06:41:34,50.79,96%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",Win (1 of 3)
113,242.0,2012-06-15 06:39:22,57.04,98%,"Because they're at the bottom of the scale, nerds are a safe...",Win (1 of 3)
114,241.0,2012-06-15 06:36:51,48.26,94%,Always do your best - your best is going to change from mome...,No win (4 of 4)
115,240.0,2012-06-15 06:35:28,51.58,97%,"Picking up the pieces, half alive in a nine 'til five, vacan...",No win (2 of 3)
116,239.0,2012-06-15 06:33:04,51.79,96%,I've flown seven million miles. And I've been waiting on peo...,Win (1 of 2)
117,238.0,2012-06-15 06:31:55,55.45,98%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",No win (2 of 2)
118,237.0,2012-06-15 06:22:21,49.83,97%,"Tis but thy name that is my enemy. Thou art thyself, though ...",No win (2 of 3)
119,236.0,2012-06-15 06:20:48,56.03,96%,"Whenever you watch the mind, you withdraw consciousness from...",No win (3 of 4)
120,235.0,2012-06-15 06:19:12,55.18,97%,"A computer needs a manager to administer its operations, jus...",No win (4 of 4)
121,234.0,2012-06-15 06:18:21,52.25,97%,"It was an effect of light: quick sunlight dappling, yellow l...",No win (3 of 4)
122,233.0,2012-06-15 06:16:46,46.0,95%,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",No win (3 of 3)
123,232.0,2012-06-15 06:13:03,56.45,99%,"Two households, both alike in dignity (in fair Verona, where...",Win (1 of 5)
124,231.0,2012-06-15 06:11:20,61.12,99%,"That's Tommy. He tells people he was named after a gun, but ...",No win (2 of 3)
125,230.0,2012-06-15 06:10:02,57.15,96%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 3)
126,229.0,2012-06-07 15:12:04,62.31,96%,"The brain can be a tool. It can recall phone numbers, solve ...",No win (2 of 3)
127,228.0,2012-06-07 15:09:53,66.82,97%,There's a piece of Maria in every song that I sing. And the ...,Win (1 of 3)
128,227.0,2012-06-07 15:08:38,62.49,97%,I had the impression of being abandoned by everyone when the...,No win (4 of 5)
129,226.0,2012-04-29 08:05:15,25.63,96%,"So, I'm tending bar there at Ecklund & Swedlin's last Tu...",Win (1 of 2)
130,225.0,2012-04-28 15:13:01,49.91,96%,"Hello, hello, hello, is there anybody in there? Just nod if ...",No win (2 of 2)
131,224.0,2012-04-28 15:11:17,55.43,98%,"The melted mozzarella layer, which we shall designate MML, i...",No win (2 of 3)
132,223.0,2012-04-28 15:09:42,55.98,96%,A giant inverted steel pyramid is perfectly balanced on its ...,No win (1 of 1)
133,222.0,2012-04-19 13:30:17,57.44,98%,There are still some places where you can get all you can ea...,No win (2 of 3)
134,221.0,2012-04-19 13:28:14,59.95,97%,I never said I would stay to the end - I knew I would leave ...,No win (4 of 5)
135,220.0,2012-04-19 13:25:41,55.57,97%,"I rejected those answers; instead, I chose something differe...",No win (3 of 4)
136,219.0,2012-04-19 13:24:05,62.6,98%,"They knew they were privileged to have these choices, but th...",No win (2 of 5)
137,218.0,2012-04-19 13:22:24,57.66,94%,The truth of the matter is that there are a lot of available...,No win (3 of 5)
138,217.0,2012-04-19 13:21:03,66.26,98%,The most precious treasures we have in life are the images w...,No win (2 of 5)
139,216.0,2012-04-06 11:34:12,55.79,97%,To drive out of the Central Valley of California on a hot da...,Win (1 of 2)
140,215.0,2012-04-06 11:31:52,43.66,93%,"She looked terrific. I said to myself, ""Maybe she's going to...",Win (1 of 2)
141,214.0,2012-03-29 11:55:27,51.07,96%,"We turn away to face the cold, enduring chill, as the day be...",No win (2 of 5)
142,213.0,2012-03-29 11:54:10,51.13,97%,The pickpockets' profession demands extraordinary nimbleness...,Win (1 of 4)
143,212.0,2012-03-29 11:53:11,48.63,92%,Rhymes trap you into saying things you don't want to say. A ...,No win (2 of 3)
144,211.0,2012-03-19 13:39:35,47.29,96%,The problem we now face is that this thin layer of atmospher...,No win (3 of 4)
145,210.0,2012-03-19 13:36:25,44.18,96%,"In 1972, domestic oil production peaked and then began its i...",No win (2 of 4)
146,209.0,2012-03-19 13:35:02,46.05,95%,Many wines have more than 14 percent alcohol because the win...,No win (3 of 3)
147,208.0,2012-03-19 13:33:01,52.6,96%,"But suddenly, I viddied that thinking was for the gloopy one...",No win (2 of 5)
148,207.0,2012-03-19 13:31:41,54.09,97%,One essential rule: make sure the joke is the last possible ...,No win (4 of 5)
149,206.0,2012-03-19 13:30:38,48.16,97%,The pickpockets' profession demands extraordinary nimbleness...,No win (5 of 5)
150,205.0,2012-03-19 13:29:37,54.22,97%,"The problem is, Willie, is that Charles and yourself are not...",No win (4 of 5)
151,204.0,2012-03-19 13:11:20,57.79,100%,"Look, you should admit to yourself that Microsoft will miss ...",Win (1 of 4)
152,203.0,2012-03-19 13:10:04,45.0,98%,"Air-conditioned, odorless, illuminated by buzzing fluorescen...",No win (2 of 4)
153,202.0,2012-03-19 13:08:35,54.37,98%,"It's a blue savanna song: somewhere cross the desert, someti...",No win (3 of 5)
154,201.0,2012-03-19 13:05:37,59.82,97%,Focus your attention on the Now and tell me what problem you...,No win (2 of 3)
155,200.0,2012-03-19 13:04:17,52.46,98%,You won't kill me out of some misplaced sense of self-righte...,No win (3 of 5)
156,199.0,2012-03-19 13:02:15,53.89,96%,"We turn away to face the cold, enduring chill, as the day be...",No win (4 of 5)
157,198.0,2012-03-19 13:00:58,50.6,95%,"Yeah, you just take Soupy-Sales to prom 'cause I can think o...",Win (1 of 4)
158,197.0,2012-03-19 12:59:29,48.78,93%,"No matter how bad things are, you can always make things wor...",No win (3 of 3)
159,196.0,2012-03-19 12:58:26,42.43,96%,So I'm two inches away from her. Her luscious lips part. Jus...,No win (2 of 4)
160,195.0,2012-03-19 12:57:18,47.83,97%,"The term ""barbarian"" was created by the Greeks; it was origi...",Win (1 of 4)
161,194.0,2012-03-14 14:07:46,41.59,95%,There are two places on Earth that serve as canaries in the ...,No win (4 of 4)
162,193.0,2012-03-14 14:04:52,36.73,95%,"Samatha is a state in which the mind is brought to rest, foc...",No win (3 of 5)
163,192.0,2012-03-05 16:04:05,53.99,95%,"No man is an island, entire of itself; every man is a piece ...",No win (2 of 3)
164,191.0,2012-03-05 16:02:20,51.19,95%,Ideology: the process of making ideas. Certain artisans were...,No win (5 of 5)
165,190.0,2012-03-05 07:53:39,50.45,95%,"No man is an island, entire of itself; every man is a piece ...",No win (5 of 5)
166,189.0,2012-03-05 07:50:44,55.14,97%,"He was rough around the edges. He'd been to school, but neve...",Win (1 of 4)
167,188.0,2012-03-05 07:48:42,55.22,98%,"But, pray how could that which I spoke so many years ago, an...",No win (3 of 5)
168,187.0,2012-03-05 07:46:13,53.86,94%,Every time I think of you I feel shot right through with a b...,Win (1 of 4)
169,186.0,2012-03-05 07:44:14,52.41,96%,Involuntarily I glanced seaward - and distinguished nothing ...,Win (1 of 2)
170,185.0,2012-03-05 07:42:48,61.85,99%,"Keying text quickly is important, but it is more important t...",Win (1 of 4)
171,184.0,2012-03-05 07:41:15,55.95,97%,I don't know why he saved my life. Maybe in those last momen...,No win (2 of 4)
172,183.0,2012-03-05 07:39:15,54.79,95%,His soul swooned slowly as he heard the snow falling faintly...,No win (3 of 4)
173,182.0,2012-03-04 11:10:00,49.83,98%,He implies there is a correlation between his daily work and...,Win (1 of 3)
174,181.0,2012-03-04 11:08:52,38.74,97%,"Whether you're a student, secretary, office administrator, m...",No win (2 of 2)
175,180.0,2012-03-04 11:06:38,47.58,94%,"The melted mozzarella layer, which we shall designate MML, i...",No win (2 of 4)
176,179.0,2012-03-04 11:05:29,44.03,95%,The inner surface of the cell wall touches the cytoplasmic m...,No win (3 of 5)
177,178.0,2012-03-04 11:04:11,45.36,96%,"That's Tommy. He tells people he was named after a gun, but ...",No win (2 of 5)
178,177.0,2012-03-04 11:01:57,55.04,98%,"At first we were silent, but finally we considered ourselves...",Win (1 of 5)
179,176.0,2012-03-04 11:01:00,52.7,97%,The odds are that you will generally meet the worst of them....,No win (4 of 4)
180,175.0,2012-03-04 10:59:43,50.81,98%,"I rejected those answers; instead, I chose something differe...",Win (1 of 4)
181,174.0,2012-03-04 10:57:27,41.31,98%,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",Win (1 of 3)
182,173.0,2012-03-04 10:55:40,43.39,93%,"The less you do with the controls, the less chance of error....",No win (2 of 5)
183,172.0,2012-03-04 10:51:27,42.05,95%,Groups of illegal miners smuggle themselves down in freight ...,No win (3 of 4)
184,171.0,2012-03-04 10:44:21,37.19,95%,"Let's sort the buyers from the spiers, the needy from the gr...",Win (1 of 2)
185,170.0,2012-03-04 10:42:02,39.85,94%,"The less you do with the controls, the less chance of error....",No win (4 of 4)
186,169.0,2012-03-04 10:40:51,39.2,95%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",No win (3 of 4)
187,168.0,2012-03-04 10:39:35,46.83,96%,The ultimate way to compose is to be able to keyboard as fas...,No win (3 of 5)
188,167.0,2012-03-04 10:37:37,40.1,95%,"There is no physical separation after the slicing, so that e...",No win (3 of 3)
189,166.0,2012-03-04 10:36:03,43.67,96%,"There is no pain, you are receding. A distant ship smoke on ...",No win (3 of 4)
190,165.0,2012-03-04 10:34:14,46.34,97%,One scientist I met recently told me he reckoned that the av...,No win (3 of 4)
191,164.0,2012-03-04 10:32:40,38.14,97%,"With no map to navigate one's life, some of us have stood st...",No win (4 of 4)
192,163.0,2012-03-04 10:30:38,44.28,99%,"That fear had been inside him for many years, it had lived w...",No win (3 of 3)
193,162.0,2012-03-04 10:29:09,46.72,97%,It was one of those days when it's a minute away from snowin...,No win (4 of 4)
194,161.0,2012-03-04 10:26:27,47.26,98%,"Like painting, most software is intended for a human audienc...",No win (4 of 5)
195,160.0,2012-03-04 10:25:12,40.2,97%,"The National Rifle Association says that, ""Guns don't kill p...",No win (3 of 4)
196,159.0,2012-03-04 10:23:27,48.57,97%,The pathology of setting a deadline to the earliest articula...,No win (4 of 4)
197,158.0,2012-03-04 10:19:28,45.23,97%,The problem we now face is that this thin layer of atmospher...,No win (3 of 4)
198,157.0,2012-03-04 10:10:46,51.07,99%,"Grits and fried chicken won't disappear, but perhaps future ...",No win (3 of 4)
199,156.0,2012-03-04 10:09:45,51.11,98%,Groups of illegal miners smuggle themselves down in freight ...,No win (3 of 3)
200,155.0,2012-03-04 10:08:10,50.26,95%,"Specialized uniforms, such as nun and priest garb, can be mo...",No win (2 of 3)
201,154.0,2012-03-04 10:07:05,49.1,99%,"Milt, with the excellent timing of a master comedy writer, w...",No win (4 of 4)
202,153.0,2012-03-04 10:05:38,47.38,96%,The pickpockets' profession demands extraordinary nimbleness...,Win (1 of 2)
203,152.0,2012-03-04 10:04:29,52.58,98%,Many rivers to cross but I can't seem to find my way over. W...,No win (2 of 3)
204,151.0,2012-03-04 10:03:12,47.5,95%,"I laugh at the whole notion of ""Mr. Right"" and you should to...",Win (1 of 5)
205,150.0,2012-03-04 10:01:21,54.28,95%,All time is all time. It does not change. It does not lend i...,No win (2 of 3)
206,149.0,2012-03-04 10:00:20,48.16,96%,"One respondent said ""For women - a lot of games are crap - t...",No win (2 of 4)
207,148.0,2012-02-26 09:50:54,43.43,95%,"Grits and fried chicken won't disappear, but perhaps future ...",No win (3 of 4)
208,147.0,2012-02-26 09:49:48,44.15,94%,All time is all time. It does not change. It does not lend i...,Win (1 of 3)
209,146.0,2012-02-22 09:35:58,48.08,96%,"Ticking away the moments that make up a dull day, you fritte...",No win (4 of 4)
210,145.0,2012-02-22 09:28:16,49.58,99%,I think you're gonna find - when all this stuff is over and ...,Win (1 of 2)
211,144.0,2012-02-12 14:28:55,45.89,97%,"Thirdly, however, these wars could now be waged with the new...",No win (3 of 4)
212,143.0,2012-01-27 11:38:47,46.3,95%,All the blue light reflections that color my mind when I sle...,No win (3 of 3)
213,142.0,2012-01-27 11:29:42,41.01,96%,"To some, the rules of etiquette may seem outdated, stuffy an...",No win (3 of 3)
214,141.0,2012-01-27 10:09:12,54.39,97%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",No win (3 of 5)
215,140.0,2012-01-22 11:54:13,56.6,96%,"And I said, I don't care if they lay me off either, because ...",No win (3 of 5)
216,139.0,2012-01-22 11:52:24,62.5,97%,"You have a class of young strong men and women, and they wan...",No win (2 of 4)
217,138.0,2012-01-22 11:51:12,48.7,95%,When considering the cultural significance of this intriguin...,No win (2 of 4)
218,137.0,2012-01-22 11:47:30,64.9,97%,"We speak of something carried and something carrying, of som...",Win (1 of 2)
219,136.0,2012-01-22 11:46:17,49.82,96%,"Oh bliss! Bliss and heaven! Oh, it was gorgeousness and gorg...",Win (1 of 2)
220,135.0,2012-01-21 13:13:24,53.05,96%,San Francisco in the middle sixties was a very special time ...,No win (2 of 3)
221,134.0,2012-01-21 13:11:34,51.94,96%,"One day you're in a funk about things, telling a friend that...",No win (3 of 5)
222,133.0,2012-01-20 12:41:41,42.33,93%,Sparkling wines are wines that contain carbon dioxide bubble...,No win (5 of 5)
223,132.0,2012-01-19 03:20:16,51.52,96%,Had dreams. Two of 'em. Both had my father. It's peculiar. I...,No win (2 of 3)
224,131.0,2012-01-19 03:18:30,56.76,98%,"No matter how bad things are, you can always make things wor...",Win (1 of 2)
225,130.0,2012-01-18 09:54:22,36.28,91%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",No win (2 of 4)
226,129.0,2012-01-18 09:52:55,47.94,95%,There are very few things I wish I could change about those ...,No win (4 of 4)
227,128.0,2012-01-18 09:39:27,47.01,96%,"There is no physical separation after the slicing, so that e...",No win (3 of 3)
228,127.0,2012-01-18 09:38:07,45.74,96%,"All Ninja are men of peace, and must always remain so or los...",No win (4 of 5)
229,126.0,2012-01-18 09:35:43,50.54,99%,"This was the most delicious meal he'd had in recent years, a...",No win (4 of 5)
230,125.0,2012-01-13 12:28:55,51.75,95%,"The goal of the true seeker is to become a sage, or superior...",No win (2 of 4)
231,124.0,2012-01-13 12:27:18,56.73,98%,Being able to quit things that don't work is integral to bei...,No win (2 of 3)
232,123.0,2012-01-13 12:26:11,58.33,99%,Well I woke in mid-afternoon cause that's when it all hurts ...,No win (3 of 5)
233,122.0,2012-01-13 12:24:54,53.0,99%,"They say that right after God created man, he took a rib fro...",No win (2 of 3)
234,121.0,2012-01-13 12:23:49,55.81,99%,I know that you weren't bored that day because there was a l...,No win (2 of 2)
235,120.0,2012-01-13 12:16:26,62.66,98%,"I believe in love, and I know that you do too. And I believe...",Win (1 of 5)
236,119.0,2012-01-13 12:15:07,52.89,97%,"Alfred Hitchcock once said, ""Drama is life with the dull bit...",Win (1 of 5)
237,118.0,2012-01-13 12:13:34,57.82,97%,"Never give up, no matter how far behind you are, no matter h...",Win (1 of 4)
