,như,as
350,nhân,multiply
351,không có gì,nothing
352,Tất nhiên,course
353,ở lại,stay
354,bánh xe,wheel
355,đầy đủ,full
356,lực,force
357,màu xanh,blue
358,đối tượng,object
359,quyết định,decide
360,bề mặt,surface
361,sâu,deep
362,mặt trăng,moon
363,đảo,island
364,chân,foot
365,hệ thống,system
366,bận rộn,busy
367,kiểm tra,test
368,ghi,record
369,thuyền,boat
370,phổ biến,common
371,vàng,gold
372,có thể,possible
373,máy bay,plane
374,thay,stead
375,khô,dry
376,tự hỏi,wonder
377,cười,laugh
378,ngàn,thousand
379,trước,ago
380,ran,ran
381,kiểm tra,check
382,trò chơi,game
383,hình dạng,shape
384,đánh đồng,equate
385,nóng,hot
386,bỏ lỡ,miss
387,mang,brought
388,nhiệt,heat
389,tuyết,snow
390,lốp xe,tire
391,mang lại,bring
392,vâng,yes
393,xa,distant
394,điền,fill
395,đông,east
396,sơn,paint
397,ngôn ngữ,language
398,trong,among
399,đơn vị,unit
400,điện,power
401,thị trấn,town
402,tốt,fine
403,nhất định,certain
404,bay,fly
405,giảm,fall
406,dẫn,lead
407,kêu,cry
408,tối,dark
409,máy,machine
410,ghi,note
411,đợi,wait
412,kế hoạch,plan
413,con số,figure
414,sao,star
415,hộp,box
416,danh từ,noun
417,lĩnh vực,field
418,phần còn lại,rest
419,chính xác,correct
420,thể,able
421,bảng,pound
422,Xong,done
423,vẻ đẹp,beauty
424,ổ đĩa,drive
425,đứng,stood
426,chứa,contain
427,trước,front
428,dạy,teach
429,tuần,week
430,thức,final
431,đã,gave
432,màu xanh lá cây,green
433,oh,oh
434,nhanh chóng,quick
435,phát triển,develop
436,đại dương,ocean
437,ấm áp,warm
438,miễn phí,free
439,phút,minute
440,mạnh mẽ,strong
441,đặc biệt,special
442,tâm,mind
443,sau,behind
444,trong,clear
445,đuôi,tail
446,sản xuất,produce
447,thực tế,fact
448,không gian,space
449,nghe,heard
450,tốt nhất,best
451,giờ,hour
452,tốt hơn,better
453,đúng,true
454,trong khi,during
455,trăm,hundred
456,năm,five
457,nhớ,remember
458,bước,step
459,đầu,early
460,giư,hold
461,tây,west
462,mặt đất,ground
463,quan tâm,interest
464,đạt,reach
465,nhanh chóng,fast
466,động từ,verb
467,hát,sing
468,lắng nghe,listen
469,sáu,six
470,bảng,table
471,du lịch,travel
472,ít,less
473,buổi sáng,morning
474,mười,ten
475,đơn giản,simple
476,nhiều,several
477,nguyên âm,vowel
478,hướng,toward
479,chiến tranh,war
480,đặt,lay
481,chống lại,against
482,mô hình,pattern
483,chậm,slow
484,trung tâm,center
485,tình yêu,love
486,người,person
487,tiền,money
488,phục vụ,serve
489,xuất hiện,appear
490,đường,road
491,Bản đồ,map
492,mưa,rain
493,quy tắc,rule
494,phối,govern
495,kéo,pull
496,lạnh,cold
497,thông báo,notice
498,giọng nói,voice
499,năng lượng,energy
500,săn,hunt
501,có thể xảy ra,probable
502,giường,bed
503,anh trai,brother
504,trứng,egg
505,đi xe,ride
506,pin,cell
507,tin,believe
508,có lẽ,perhaps
509,chọn,pick
510,đột ngột,sudden
511,tính,count
512,vuông,square
513,lý do,reason
514,chiều dài,length
515,đại diện,represent
516,nghệ thuật,art
517,Tiêu đề,subject
518,khu,region
519,kích thước,size
520,khác nhau,vary
521,giải quyết,settle
522,nói,speak
523,trọng lượng,weight
524,chung,general
525,băng,ice
526,vấn đề,matter
527,vòng tròn,circle
528,đôi,pair
529,bao gồm,include
530,chia,divide
531,âm tiết,syllable
532,cảm thấy,felt
533,lớn,grand
534,bóng,ball
535,nhưng,yet
536,sóng,wave
537,rơi,drop
538,tim,heart
539,là,am
540,hiện nay,present
541,nặng,heavy
542,khiêu vũ,dance
543,động cơ,engine
544,vị trí,position
545,cánh tay,arm
546,rộng,wide
547,buồm,sail
548,tài liệu,material
549,phần,fraction
550,rừng,forest
551,ngồi,sit
552,cuộc đua,race
553,cửa sổ,window
554,cửa hàng,store
555,mùa hè,summer
556,đào tạo,train
557,ngủ,sleep
558,chứng minh,prove
559,đơn độc,lone
560,chân,leg
561,tập thể dục,exercise
562,tường,wall
563,bắt,catch
564,mount,mount
565,muốn,wish
566,bầu trời,sky
567,hội đồng quản trị,board
568,niềm vui,joy
569,mùa đông,winter
570,ngồi,sat
571,bằng văn bản,written
572,hoang dã,wild
573,cụ,instrument
574,giữ,kept
575,kính,glass
576,cỏ,grass
577,bò,cow
578,công việc,job
579,cạnh,edge
580,dấu hiệu,sign
581,lần,visit
582,qua,past
583,mềm,soft
584,vui vẻ,fun
585,sáng,bright
586,khí,gas
587,thời tiết,weather
588,tháng,month
589,triệu,million
590,chịu,bear
591,kết thúc,finish
592,hạnh phúc,happy
593,hy vọng,hope
594,hoa,flower
595,mặc,clothe
596,lạ,strange
597,ra đi,gone
598,thương mại,trade
599,giai điệu,melody
600,chuyến đi,trip
601,văn phòng,office
602,nhận,receive
603,hàng,row
604,miệng,mouth
605,chính xác,exact
606,biểu tượng,symbol
607,chết,die
608,nhất,least
609,rắc rối,trouble
610,hét lên,shout
611,trừ,except
612,đã viết,wrote
613,hạt giống,seed
614,giai điệu,tone
615,tham gia,join
616,đề nghị,suggest
617,sạch,clean
618,nghỉ,break
619,phụ nữ,lady
620,sân,yard
621,tăng,rise
622,xấu,bad
623,đòn,blow
624,dầu,oil
625,máu,blood
626,chạm,touch
627,tăng,grew
628,phần trăm,cent
629,trộn,mix
630,đội,team
631,dây,wire
632,chi phí,cost
633,thua,lost
634,nâu,brown
635,mặc,wear
636,vườn,garden
637,như nhau,equal
638,gửi,sent
639,chọn,choose
640,giảm,fell
641,phù hợp với,fit
642,chảy,flow
643,công bằng,fair
644,ngân hàng,bank
645,thu thập,collect
646,lưu,save
647,kiểm soát,control
648,số thập phân,decimal
649,tai,ear
650,khác,else
651,khá,quite
652,đã phá vỡ,broke
653,khi,case
654,trung,middle
655,giết,kill
656,con trai,son
657,hồ,lake
658,thời điểm,moment
659,quy mô,scale
660,lớn,loud
661,mùa xuân,spring
662,quan sát,observe
663,con,child
664,thẳng,straight
665,phụ âm,consonant
666,quốc gia,nation
667,từ điển,dictionary
668,sưa,milk
669,tốc độ,speed
670,phương pháp,method
671,cơ quan,organ
672,trả,pay
673,tuổi,age
674,phần,section
675,váy,dress
676,điện toán đám mây,cloud
677,bất ngờ,surprise
678,yên tĩnh,quiet
679,đá,stone
680,nhỏ,tiny
681,lên cao,climb
682,mát mẻ,cool
683,thiết kế,design
684,người nghèo,poor
685,rất nhiều,lot
686,thí nghiệm,experiment
687,dưới,bottom
688,chính,key
689,sắt,iron
690,đơn,single
691,thanh,stick
692,phẳng,flat
693,hai mươi,twenty
694,da,skin
695,nụ cười,smile
696,nếp,crease
697,lỗ,hole
698,nhảy,jump
699,bé,baby
700,tám,eight
701,làng,village
702,đáp ứng,meet
703,gốc,root
704,mua,buy
705,nâng cao,raise
706,giải quyết,solve
707,kim loại,metal
708,liệu,whether
709,đẩy,push
710,bảy,seven
711,đoạn,paragraph
712,thứ ba,third
713,có trách nhiệm,shall
714,được tổ chức,held
715,lông,hair
716,mô tả,describe
717,nấu ăn,cook
718,sàn,floor
719,hoặc,either
720,kết quả,result
721,ghi,burn
722,đồi,hill
723,an toàn,safe
724,mèo,cat
725,thế kỷ,century
726,xem xét,consider
727,loại,type
728,pháp luật,law
729,bit,bit
730,bờ biển,coast
731,bản sao,copy
732,cụm từ,phrase
733,im lặng,silent
734,cao,tall
735,cát,sand
736,đất,soil
737,cuộn,roll
738,nhiệt độ,temperature
739,ngón tay,finger
740,ngành công nghiệp,industry
741,giá trị,value
742,cuộc chiến,fight
743,lời nói dối,lie
744,đánh bại,beat
745,kích thích,excite
746,tự nhiên,natural
747,xem,view
748,ý nghĩa,sense
749,vốn,capital
750,sẽ không,won’t
751,ghế,chair
752,nguy hiểm,danger
753,trái cây,fruit
754,giàu,rich
755,dày,thick
756,người lính,soldier
757,quá trình,process
758,hoạt động,operate
759,thực hành,practice
760,riêng biệt,separate
761,khó khăn,difficult
762,bác sĩ,doctor
763,xin vui lòng,please
764,bảo vệ,protect
765,trưa,noon
766,cây trồng,crop
767,hiện đại,modern
768,yếu tố,element
769,nhấn,hit
770,sinh viên,student
771,góc,corner
772,bên,party
773,cung cấp,supply
774,có,whose
775,xác định vị trí,locate
776,vòng,ring
777,nhân vật,character
778,côn trùng,insect
779,bắt,caught
780,thời gian,period
781,chỉ ra,indicate
782,radio,radio
783,nói,spoke
784,nguyên tử,atom
785,con người,human
786,lịch sử,history
787,hiệu lực,effect
788,điện,electric
789,mong đợi,expect
790,xương,bone
791,đường sắt,rail
792,tưởng tượng,imagine
793,cho,provide
794,đồng ý,agree
795,do đó,thus
796,nhẹ nhàng,gentle
797,người phụ nữ,woman
798,đội trưởng,captain
799,đoán,guess
800,cần thiết,necessary
801,sắc nét,sharp
802,cánh,wing
803,tạo,create
804,hàng xóm,neighbor
805,rửa,wash
806,bat,bat
807,thay,rather
808,đám đông,crowd
809,ngô,corn
810,so sánh,compare
811,bài thơ,poem
812,chuỗi,string
813,chuông,bell
814,phụ thuộc,depend
815,thịt,meat
816,chà,rub
817,ống,tube
818,nổi tiếng,famous
819,đồng đô la,dollar
820,sông,stream
821,sợ hãi,fear
822,cảnh,sight
823,mỏng,thin
824,tam giác,triangle
825,hành tinh,planet
826,nhanh,hurry
827,trưởng,chief
828,thuộc địa,colony
829,đồng hồ,clock
830,tôi,mine
831,cà vạt,tie
832,nhập,enter
833,chính,major
834,tươi,fresh
835,tìm kiếm,search
836,gửi,send
837,vàng,yellow
838,súng,gun
839,cho phép,allow
840,in,print
841,chết,dead
842,tại chỗ,spot
843,sa mạc,desert
844,phù hợp với,suit
845,hiện tại,current
846,thang máy,lift
847,tăng,rose
848,đến,arrive
849,chủ,master
850,theo dõi,track
851,mẹ,parent
852,bờ,shore
853,phân chia,division
854,tờ,sheet
855,chất,substance
856,ủng hộ,favor
857,kết nối,connect
858,bài,post
859,chi tiêu,spend
860,hợp âm,chord
861,chất béo,fat
862,vui,glad
863,ban đầu,original
864,chia sẻ,share
865,trạm,station
866,cha,dad
867,bánh mì,bread
868,phí,charge
869,thích hợp,proper
870,thanh,bar
871,phục vụ,offer
872,phân khúc,segment
873,nô lệ,slave
874,vịt,duck
875,ngay lập tức,instant
876,thị trường,market
877,mức độ,degree
878,cư,populate
879,gà,chick
880,thân yêu,dear
881,kẻ thù,enemy
882,trả lời,reply
883,ly,drink
884,xảy ra,occur
885,hỗ trợ,support
886,bài phát biểu,speech
887,thiên nhiên,nature
888,phạm vi,range
889,hơi nước,steam
890,chuyển động,motion
891,con đường,path
892,chất lỏng,liquid
893,đăng nhập,log
894,có nghĩa là,meant
895,thương,quotient
896,răng,teeth
897,vỏ,shell
898,cổ,neck
899,oxy,oxygen
900,đường,sugar
901,chết,death
902,khá,pretty
903,kỹ năng,skill
904,phụ nữ,women
905,mùa,season
906,giải pháp,solution
907,nam châm,magnet
908,bạc,silver
909,cảm ơn,thank
910,chi nhánh,branch
911,trận đấu,match
912,hậu tố,suffix
913,đặc biệt là,especially
914,sung,fig
915,sợ,afraid
916,to,huge
917,em gái,sister
918,thép,steel
919,thảo luận,discuss
920,về phía trước,forward
921,tương tự,similar
922,hướng dẫn,guide
923,kinh nghiệm,experience
924,điểm,score
925,táo,apple
926,mua,bought
927,dẫn,led
928,sân,pitch
929,áo,coat
930,khối lượng,mass
931,thẻ,card
932,ban nhạc,band
933,dây,rope
934,trượt,slip
935,giành chiến thắng,win
936,mơ,dream
937,buổi tối,evening
938,điều kiện,condition
939,thức ăn chăn nuôi,feed
940,công cụ,tool
941,tổng số,total
942,cơ bản,basic
943,mùi,smell
944,thung lũng,valley
945,cũng không,nor
946,đôi,double
947,ghế,seat
948,tiếp tục,continue
949,khối,block
950,biểu đồ,chart
951,mũ,hat
952,bán,sell
953,thành công,success
954,công ty,company
955,trừ,subtract
956,sự kiện,event
957,riêng,particular
958,thỏa thuận,deal
959,bơi,swim
960,hạn,term
961,ngược lại,opposite
962,vợ,wife
963,giày,shoe
964,vai,shoulder
965,lây lan,spread
966,sắp xếp,arrange
967,trại,camp
968,phát minh,invent
969,bông,cotton
970,Sinh,born
971,xác định,determine
972,lít,quart
973,chín,nine
974,xe tải,truck
975,tiếng ồn,noise
976,mức,level
977,cơ hội,chance
978,thu thập,gather
979,cửa hàng,shop
980,căng ra,stretch
981,ném,throw
982,tỏa sáng,shine
983,tài sản,property
984,cột,column
985,phân tử,molecule
986,chọn,select
987,sai,wrong
988,màu xám,gray
989,lặp lại,repeat
990,yêu cầu,require
991,rộng,broad
992,chuẩn bị,prepare
993,muối,salt
994,mui,nose
995,số nhiều,plural
996,tức giận,anger
997,xin,claim
998,lục,continent
