,UNK,1
238,hard,6
239,earlier,2
240,gotta,5
241,dose,2
242,around,6
243,knocked,4
244,caffeine,6
245,room,6
246,yes,6
247,later,3
248,anxiety,6
249,knocks,4
250,thats,0
251,wonder,3
252,done,2
253,okay,1
254,away,6
255,tell,1
256,nap,2
257,buy,0
258,exhausted,3
259,many,1
260,another,1
261,rest,5
262,pic,3
263,com,6
264,cuz,1
265,problem,6
266,side,6
267,left,2
268,wait,5
269,ive,4
270,fucked,1
271,till,6
272,aid,5
273,soo,0
274,years,4
275,open,3
276,vivid,0
277,throat,5
278,helping,6
279,effect,3
280,falling,1
281,waiting,4
282,baby,1
283,system,6
284,idk,1
285,die,1
286,medicine,2
287,read,6
288,phone,0
289,super,1
290,called,4
291,high,6
292,house,5
293,dad,4
294,look,3
295,times,4
296,hit,4
297,doctor,3
298,didnt,2
299,tylenol,4
300,eat,2
301,fell,4
302,starting,1
303,wtf,4
304,bring,5
305,couple,3
306,levels,6
307,girl,4
308,seems,2
309,drinking,2
310,watch,3
311,wrong,0
312,supplements,2
313,tho,1
314,realized,6
315,supposed,2
316,lately,6
317,alarm,6
318,sucks,6
319,wonders,3
320,kicks,3
321,immune,4
322,normal,5
323,friends,0
324,hot,5
325,takes,3
326,heard,4
327,accidentally,4
328,lets,3
329,pain,3
330,everything,5
331,mean,5
332,light,3
333,sorry,0
334,effects,1
335,trouble,6
336,call,4
337,drank,2
338,hell,0
339,worse,1
340,vitamins,2
341,extra,4
342,wow,1
343,groggy,1
344,glad,6
345,class,6
346,old,6
347,chamomile,4
348,turn,5
349,supplement,2
350,must,4
351,drowsy,3
352,headache,0
353,shower,2
354,felt,1
355,whenever,1
356,reason,4
357,mine,6
358,bout,2
359,gets,6
360,using,6
361,drugs,2
362,gummies,2
363,shut,3
364,definitely,5
365,lmao,4
366,knew,0
367,anyone,6
368,world,0
369,problems,6
370,weeks,6
371,til,6
372,omg,3
373,water,2
374,full,0
375,wine,2
376,drug,5
377,fast,1
378,everyone,0
379,giving,1
380,ran,0
381,plus,2
382,scared,6
383,face,2
384,end,0
385,watching,5
386,straight,6
387,advil,2
388,black,0
389,apparently,3
390,hear,5
391,nice,5
392,issues,6
393,ate,2
394,year,0
395,worst,0
396,luck,2
397,job,1
398,excited,0
399,lay,3
400,amount,3
401,else,5
402,tweet,0
403,wanted,5
404,kicked,3
405,kind,5
406,cool,0
407,kill,1
408,kids,4
409,puts,5
410,kinda,1
411,pineal,0
412,point,6
413,believe,6
414,mood,6
415,barely,3
416,stress,6
417,gone,4
418,laying,0
419,forget,5
420,less,6
421,bedtime,3
422,stopped,6
423,talk,3
424,doesnt,3
425,hmm,1
426,become,0
427,forever,1
428,thoughts,6
429,dosage,2
430,yesterday,1
431,far,0
432,ask,0
433,energy,4
434,cycle,6
435,midnight,6
436,cat,6
437,herbal,3
438,zzquil,2
439,dead,1
440,gland,0
441,needs,0
442,meletonin,1
443,bunch,2
444,longer,3
445,keeps,5
446,fix,5
447,smh,0
448,mad,1
449,feels,1
450,run,3
451,stupid,1
452,looks,1
453,set,4
454,fact,1
455,insomniac,5
456,middle,0
457,coming,4
458,coma,4
459,leave,4
460,clock,6
461,parents,3
462,anyway,2
463,eating,2
464,person,0
465,lots,2
466,food,2
467,double,2
468,fighting,1
469,music,3
470,mins,0
471,months,4
472,dog,1
473,totally,0
474,fight,6
475,remembered,2
476,asked,1
477,awesome,4
478,drops,2
479,skin,3
480,ton,2
481,hahaha,1
482,crap,6
483,milk,2
484,goes,0
485,ibuprofen,2
486,fml,3
487,weirdest,0
488,dear,5
489,fun,3
490,big,5
491,course,6
492,dark,6
493,amazing,5
494,staying,0
495,needed,5
496,break,0
497,fine,1
498,cup,4
499,passed,5
500,play,4
501,drunk,1
502,quite,3
503,seem,5
504,pissed,1
505,second,0
506,brought,5
507,hella,4
508,game,1
509,xanax,4
510,moment,2
511,afraid,4
512,addicted,1
513,dude,4
514,reading,6
515,oil,2
516,happens,4
517,sweet,5
518,happen,0
519,yay,3
520,calm,5
521,says,4
522,recommended,2
523,sounds,4
524,messed,6
525,havent,0
526,unless,3
527,prescription,6
528,invest,5
529,relax,5
530,sister,2
531,understand,6
532,came,5
533,wondering,0
534,homework,3
535,otherwise,5
536,heart,3
537,miss,0
538,guys,1
539,cough,3
540,oops,2
541,means,5
542,family,5
543,popping,2
544,quick,4
545,care,5
546,close,1
547,lost,2
548,doc,3
549,running,6
550,deep,0
551,horrible,3
552,sun,3
553,hand,2
554,produce,3
555,rested,1
556,talking,0
557,jet,1
558,hello,0
559,melatonins,4
560,honey,5
561,decided,5
562,yea,4
563,shot,1
564,considering,6
565,part,6
566,ahh,3
567,liquid,2
568,book,5
569,favorite,0
570,hey,6
571,blame,6
572,juice,2
573,warm,2
574,honestly,5
575,meant,3
576,alright,0
577,moms,2
578,wont,0
579,finish,5
580,heavy,1
581,bitch,5
582,sleepytime,4
583,mix,2
584,ima,0
585,looking,5
586,trick,2
587,weekend,2
588,boy,1
589,entire,0
590,yall,0
591,weed,5
592,awful,1
593,decent,5
594,holy,2
595,study,5
596,live,0
597,strong,6
598,normally,4
599,pattern,6
600,nite,3
601,brother,2
602,usual,1
603,placebo,1
604,lack,6
605,together,0
606,change,1
607,hurts,3
608,screwed,0
609,cocktail,2
610,wheres,5
611,mouth,2
612,saying,2
613,low,6
614,shift,2
615,lag,6
616,allergy,2
617,hair,0
618,freaking,1
619,taste,2
620,release,3
621,buying,3
622,movie,1
623,kept,0
624,lemon,2
625,min,3
626,trip,0
627,tablet,2
628,fail,6
629,hangover,4
630,prescribed,5
631,comes,5
632,restless,6
633,overdose,4
634,eye,2
635,gotten,3
636,red,5
637,store,0
638,zzzquil,2
639,cry,1
640,telling,3
641,aids,4
642,terrible,0
643,completely,6
644,nightly,4
645,flu,4
646,serious,5
647,alcohol,2
648,bff,5
649,saw,4
650,production,3
651,stomach,1
652,killing,1
653,zinc,2
654,given,0
655,crash,2
656,glass,2
657,possible,4
658,capsules,2
659,lavender,5
660,dinner,2
661,zombie,5
662,whatever,2
663,awhile,3
664,catch,5
665,happened,0
666,thinks,6
667,funny,3
668,move,3
669,naturally,4
670,evening,3
671,drugged,1
672,text,0
673,check,3
674,name,5
675,faster,5
676,pray,3
677,sigh,1
678,realize,0
679,recommend,6
680,afternoon,2
681,sitting,5
682,bored,0
683,bath,2
684,hurt,1
685,turned,3
686,vit,1
687,htp,2
688,month,6
689,kid,1
690,especially,6
691,dreaming,1
692,imma,5
693,due,6
694,thankful,0
695,plan,0
696,basically,5
697,pillow,2
698,car,0
699,turning,5
700,matter,1
701,regular,0
702,muscle,4
703,pick,2
704,mother,4
705,except,2
706,legs,1
707,smell,1
708,alone,0
709,etc,2
710,safe,5
711,strength,2
712,couldnt,1
713,poppin,5
714,figure,0
715,quit,6
716,keeping,1
717,listening,2
718,asap,2
719,dumb,1
720,takin,3
721,mama,4
722,although,4
723,mess,5
724,quickly,6
725,rather,3
726,walk,1
727,son,5
728,suck,3
729,ridiculous,6
730,refuse,2
731,dying,2
732,mgs,2
733,sleepless,0
734,thru,0
735,show,5
736,putting,5
737,twice,2
738,benedryl,4
739,tryna,5
740,interesting,0
741,different,3
742,playing,5
743,beer,2
744,level,6
745,healthy,0
746,recently,3
747,theres,5
748,knows,5
749,melanin,3
750,case,3
751,currently,5
752,stronger,5
753,lil,3
754,craziest,0
755,teeth,2
756,nose,1
757,bye,0
758,changed,6
759,top,2
760,chocolate,2
761,flight,3
762,lord,5
763,place,5
764,smoke,2
765,order,5
766,ahead,2
767,nightmare,6
768,starts,0
769,fuckin,0
770,gym,0
771,jealous,0
772,confused,6
773,finished,0
774,jetlag,0
775,summer,1
776,doses,2
777,gummy,2
778,word,0
779,seeing,6
780,nah,0
781,suppose,2
782,free,0
783,white,4
784,hungry,5
785,shall,5
786,remedy,5
787,nope,0
788,lucid,1
789,worth,4
790,scary,1
791,jesus,4
792,hyper,1
793,win,6
794,lights,6
795,yep,4
796,often,1
797,news,6
798,tweeting,0
799,friday,0
800,sore,2
801,drive,3
802,monday,0
803,guy,0
804,within,0
805,smells,1
806,party,0
807,cut,2
808,absolutely,4
809,add,2
810,story,0
811,magnesium,2
812,future,0
813,self,0
814,counter,2
815,adderall,0
816,true,1
817,medication,1
818,ended,6
819,spray,2
820,save,6
821,mixed,2
822,def,2
823,swallow,1
824,driving,4
825,regulate,5
826,college,0
827,loopy,1
828,health,5
829,ones,6
830,unisom,4
831,hormone,5
832,wants,3
833,stressed,1
834,fan,6
835,increase,5
836,knocking,5
837,hands,0
838,whats,1
839,mum,3
840,otc,4
841,combo,2
842,fingers,4
843,chill,2
844,opposite,1
845,saved,6
846,green,5
847,praying,2
848,upset,4
849,attempt,0
850,tolerance,4
851,suggested,5
852,heres,2
853,rock,6
854,cure,5
855,everytime,2
856,ten,3
857,forgetting,2
858,listen,6
859,worried,1
860,bro,4
861,lazy,5
862,missed,6
863,figured,0
864,force,3
865,gunna,5
866,track,1
867,sound,0
868,depression,6
869,tbh,5
870,serotonin,1
871,lemme,2
872,dunno,3
873,wired,3
874,hitting,2
875,send,5
876,magic,5
877,dammit,5
878,death,1
879,producing,3
880,circadian,5
881,lose,5
882,struggle,6
883,ginger,5
884,blue,6
885,words,4
886,hold,1
887,sense,3
888,crying,0
889,relaxed,4
890,throw,2
891,handful,2
892,random,5
893,tabs,2
894,lovely,1
895,dreamt,1
896,daily,2
897,butt,2
898,calling,6
899,bet,3
900,trust,6
901,induced,3
902,sort,5
903,wild,3
904,nigga,2
905,busy,0
906,tastes,1
907,refreshed,6
908,herbs,3
909,paper,0
910,produces,6
911,test,0
912,turns,2
913,desperate,5
914,trippy,1
915,somehow,5
916,happening,4
917,boo,2
918,difference,0
919,single,0
920,wakes,5
921,prob,0
922,herb,2
923,dreamed,3
924,failed,4
925,odd,1
926,officially,4
927,roommate,3
928,write,1
929,caught,1
930,passing,1
931,lady,6
932,welp,1
933,candy,1
934,type,1
935,colds,2
936,threw,6
937,aka,5
938,died,5
939,tweets,1
940,headaches,6
941,writing,5
942,stuck,5
943,shoulda,6
944,wash,5
945,small,2
946,door,3
947,overdosed,1
948,cats,1
949,wonderful,0
950,bag,6
951,bottles,2
952,sleepin,3
953,couch,2
954,joke,6
955,rain,3
956,however,1
957,christmas,3
958,racing,5
959,isnt,1
960,strange,1
961,feet,2
962,minute,0
963,boyfriend,5
964,slow,1
965,workout,5
966,drop,3
967,decide,5
968,learned,4
969,clean,4
970,control,6
971,brand,2
972,ughh,6
973,deal,6
974,migraine,6
975,several,0
976,alarms,6
977,peace,0
978,dependent,4
979,zquil,2
980,experience,1
981,near,5
982,husband,2
983,excuse,1
984,issue,6
985,aww,4
986,cantsleep,4
987,nervous,4
988,ppl,6
989,stick,6
990,convinced,4
991,weather,3
992,yup,2
993,watched,0
994,cream,2
995,somewhere,0
996,reset,5
997,discovered,5
998,avoid,6
999,ish,0
1000,blood,6
1001,goldenseal,4
1002,routine,4
1003,legit,4
1004,classes,0
1005,suggest,5
1006,ice,2
1007,drinks,2
1008,orange,2
1009,choice,2
1010,anyways,3
1011,anxious,1
1012,count,4
1013,clearly,2
1014,becoming,6
1015,stayed,0
1016,bullshit,3
1017,tongue,2
1018,whoops,0
1019,higher,4
1020,nighttime,5
1021,sunday,1
1022,huge,4
1023,spent,4
1024,catnip,4
1025,habit,1
1026,rhythm,5
1027,regret,1
1028,whether,0
1029,perfect,0
1030,lucky,6
1031,btw,1
1032,asking,3
1033,pls,6
1034,allergic,4
1035,tincture,3
1036,exactly,3
1037,slowly,1
1038,lunch,2
1039,question,3
1040,outta,1
1041,bestfriend,3
1042,prefer,6
1043,depressed,1
1044,power,2
1045,pull,6
1046,helpful,5
1047,patterns,6
1048,voice,1
1049,woo,0
1050,lie,3
1051,feelin,3
1052,med,0
1053,human,1
1054,everyday,6
1055,money,4
1056,advice,5
1057,easily,6
1058,habits,6
1059,hates,1
1060,beat,6
1061,shots,2
1062,dads,5
1063,travel,5
1064,along,2
1065,walking,4
1066,fucks,4
1067,insane,1
1068,load,2
1069,staring,6
1070,desk,0
1071,saver,4
1072,dogs,2
1073,window,6
1074,naps,0
1075,obviously,1
1076,biotin,2
1077,answer,4
1078,burn,1
1079,kickin,0
1080,goin,1
1081,saturday,1
1082,apartment,1
1083,sum,5
1084,research,3
1085,goodness,0
1086,needsleep,3
1087,gosh,5
1088,yrs,4
1089,function,3
1090,miracle,5
1091,pack,2
1092,computer,0
1093,thestruggle,4
1094,emergenc,2
1095,walmart,2
1096,rely,4
1097,wife,5
1098,song,0
1099,prolly,3
1100,dang,6
1101,zzz,2
1102,valium,4
1103,slightly,1
1104,others,1
1105,doubt,4
1106,lunesta,4
1107,sleeps,2
1108,mistake,4
1109,poor,1
1110,horse,2
1111,affect,2
1112,solution,5
1113,dry,1
1114,box,2
1115,living,0
1116,noon,0
1117,rip,1
1118,sit,1
1119,wall,2
1120,gnight,0
1121,promise,5
1122,effective,2
1123,easy,5
1124,note,1
1125,ohh,5
1126,plans,6
1127,disorder,6
1128,total,4
1129,hahah,4
1130,woken,0
1131,kitchen,1
1132,speak,1
1133,tossing,0
1134,meet,5
1135,third,6
1136,moving,0
1137,tells,1
1138,garlic,2
1139,diet,2
1140,share,4
1141,solid,0
1142,cus,3
1143,exercise,5
1144,winning,4
1145,laugh,1
1146,cos,5
1147,badly,5
1148,annoying,5
1149,looked,1
1150,child,4
1151,possibly,5
1152,remind,3
1153,winter,6
1154,sell,4
1155,sex,1
1156,netflix,3
1157,gettin,1
1158,thx,1
1159,switched,4
1160,grateful,0
1161,moved,1
1162,drift,0
1163,broke,2
1164,fully,5
1165,movies,0
1166,combination,4
1167,extract,2
1168,explain,6
1169,talked,2
1170,sheets,5
1171,nearly,5
1172,behind,0
1173,laughing,4
1174,downstairs,1
1175,extremely,1
1176,strips,5
1177,hopes,6
1178,wear,2
1179,pharmacy,0
1180,row,3
1181,dropped,2
1182,lmfao,1
1183,short,3
1184,syrup,2
1185,app,4
1186,floor,2
1187,agree,6
1188,shitty,6
1189,eventually,1
1190,miserable,6
1191,handle,1
1192,noo,0
1193,breakfast,5
1194,aint,1
1195,anytime,5
1196,grab,2
1197,met,6
1198,seen,6
1199,wearing,1
1200,form,3
1201,chemical,1
1202,struggling,3
1203,none,2
1204,decision,6
1205,messing,1
1206,noise,5
1207,games,3
1208,finna,3
1209,hardly,0
1210,bodies,4
1211,lying,6
1212,swallowed,4
1213,closed,6
1214,ability,2
1215,easier,5
1216,accident,6
1217,suggestions,3
1218,tonite,5
1219,damnit,0
1220,young,0
1221,studying,6
1222,chance,5
1223,impossible,6
1224,mostly,5
1225,properly,1
1226,amounts,2
1227,ride,3
1228,bowl,5
1229,girls,2
1230,whiskey,2
1231,filled,5
1232,switch,4
1233,important,6
1234,suffer,4
1235,forward,0
1236,mornings,0
1237,actual,6
1238,shoot,1
1239,adhd,4
1240,learn,0
1241,huh,6
1242,outside,6
1243,bizarre,0
1244,stand,1
1245,idiot,3
1246,list,6
1247,bruh,4
1248,kidding,0
1249,results,3
1250,bother,1
1251,highly,6
1252,wore,3
1253,unable,3
1254,plz,5
1255,exhaustion,1
1256,crack,4
1257,vodka,2
1258,annoyed,1
1259,sugar,2
1260,smoked,2
1261,tmrw,3
1262,soup,2
1263,neck,2
1264,shake,0
1265,elizabeth,4
1266,hardcore,4
1267,downed,5
1268,enjoy,0
1269,cherry,2
1270,chicken,2
1271,ideas,2
1272,jus,6
1273,follow,1
1274,multivitamin,2
1275,built,4
1276,brush,5
1277,causing,6
1278,addict,6
1279,sign,6
1280,sickness,2
1281,act,6
1282,nurse,2
1283,plane,0
1284,slip,5
1285,hormones,4
1286,bedroom,2
1287,cvs,4
1288,walgreens,1
1289,iron,2
1290,o_o,0
1291,post,3
1292,welcome,5
1293,rarely,0
1294,missing,1
1295,attack,5
1296,final,1
1297,screw,0
1298,neither,4
1299,immediately,5
1300,noticed,5
1301,bodys,6
1302,milligrams,6
1303,managed,5
1304,gross,2
1305,broken,1
1306,letting,4
1307,chewable,2
1308,addiction,5
1309,despite,3
1310,loves,0
1311,dizzy,6
1312,fault,5
1313,fish,2
1314,mellow,2
1315,comfy,3
1316,luckily,1
1317,added,4
1318,organic,2
1319,fear,6
1320,non,1
1321,owl,0
1322,record,5
1323,bringing,3
1324,golden,5
1325,played,0
1326,angry,6
1327,grandma,2
1328,saving,5
1329,bright,4
1330,diphenhydramine,4
1331,complete,2
1332,zma,3
1333,gaba,2
1334,meditation,3
1335,relaxer,1
1336,fresh,5
1337,babe,0
1338,rough,6
1339,wideawake,2
1340,daughter,3
1341,forced,2
1342,shows,5
1343,begin,0
1344,somebody,5
1345,worry,6
1346,bless,5
1347,wasnt,0
1348,secrete,6
1349,cleaning,2
1350,picked,2
1351,balance,5
1352,mild,3
1353,savior,3
1354,wishing,4
1355,abt,5
1356,doctors,1
1357,charm,1
1358,boys,3
1359,biggest,0
1360,breathe,1
1361,addictive,1
1362,weak,1
1363,bathroom,1
1364,counting,2
1365,birthday,3
1366,secreting,3
1367,snort,1
1368,cabinet,4
1369,grr,6
1370,leaving,3
1371,panic,6
1372,hahahaha,2
1373,allergies,2
1374,exam,0
1375,unfortunately,6
1376,nature,4
1377,birth,5
1378,support,3
1379,positive,1
1380,allowed,0
1381,truck,1
1382,certain,6
1383,hugs,1
1384,number,6
1385,internal,1
1386,fire,6
1387,continue,1
1388,land,4
1389,freakin,0
1390,sent,2
1391,produced,6
1392,glasses,6
1393,oregano,2
1394,aleve,2
1395,cuddle,3
1396,office,3
1397,reality,0
1398,roommates,3
1399,useless,3
1400,rub,2
1401,experiment,0
1402,wit,2
1403,excedrin,2
1404,capsule,2
1405,treat,4
1406,harder,6
1407,foods,2
1408,bob,2
1409,shopping,0
1410,dayquil,2
1411,train,1
1412,dat,0
1413,sisters,0
1414,leaves,0
1415,laid,2
1416,flavored,6
1417,color,3
1418,immunity,3
1419,suddenly,6
1420,fallen,0
1421,option,6
1422,intense,1
1423,acid,3
1424,anywhere,5
1425,difficult,0
1426,frustrated,6
1427,inside,2
1428,team,4
1429,sat,5
1430,coughing,1
1431,thatll,5
1432,slipped,2
1433,tummy,3
1434,leg,4
1435,hops,4
1436,nosleep,0
1437,beyond,0
1438,airborne,2
1439,randomly,0
1440,druggie,4
1441,forgotten,4
1442,nerves,5
1443,zyrtec,2
1444,hits,3
1445,repeat,6
1446,rescue,2
1447,arms,1
1448,youre,0
1449,round,1
1450,seconds,6
1451,throughout,6
1452,boutta,4
1453,fixed,0
1454,alive,0
1455,bus,3
1456,coke,5
1457,mask,5
1458,molly,2
1459,feelings,4
1460,heck,3
1461,ways,2
1462,period,6
1463,vicodin,4
1464,teamnosleep,5
1465,related,3
1466,planning,1
1467,thus,0
1468,responsible,6
1469,brains,6
1470,doin,5
1471,episode,2
1472,nocturnal,6
1473,boost,2
1474,everywhere,2
1475,laundry,2
1476,blah,1
1477,freaked,6
1478,imagine,1
1479,knowing,0
1480,church,0
1481,surprised,1
1482,sotired,1
1483,books,6
1484,mention,1
1485,cutting,2
1486,klonopin,4
1487,worn,0
1488,nuts,2
1489,aunt,1
1490,hang,3
1491,theyre,3
1492,emotional,6
1493,productive,0
1494,online,0
1495,truly,3
1496,followers,4
1497,empty,2
1498,lived,4
1499,wicked,3
1500,crossed,0
1501,front,5
1502,chronic,3
1503,umm,5
1504,reminds,4
1505,based,5
1506,smoking,6
1507,kava,4
1508,trazodone,4
1509,clothes,2
1510,loud,4
1511,sleeper,4
1512,deeper,5
1513,psych,6
1514,cheese,4
1515,seal,2
1516,snoring,3
1517,supply,5
1518,tripping,1
1519,calming,1
1520,washed,2
1521,focus,6
1522,realistic,1
1523,marley,2
1524,reaction,4
1525,pillows,6
1526,finals,4
1527,resort,4
1528,weight,2
1529,restful,0
1530,apple,2
1531,sis,3
1532,remedies,4
1533,dnt,2
1534,machine,4
1535,eyelids,1
1536,overdosing,2
1537,snooze,2
1538,settle,3
1539,realizing,2
1540,yawning,1
1541,besides,4
1542,science,0
1543,determined,0
1544,consumed,2
1545,seemed,2
1546,seratonin,3
1547,sleeplessness,6
1548,tons,2
1549,air,0
1550,battle,6
1551,migraines,3
1552,eaten,1
1553,raspberry,3
1554,powder,2
1555,ear,0
1556,likely,0
1557,probs,5
1558,ears,3
1559,cousin,6
1560,soul,6
1561,max,0
1562,cancer,6
1563,bags,3
1564,messes,1
1565,hurting,6
1566,flower,2
1567,simply,3
1568,google,6
1569,age,4
1570,sublingual,3
1571,greatest,5
1572,state,0
1573,update,1
1574,trash,4
1575,calls,5
1576,semester,0
1577,whoa,1
1578,earplugs,5
1579,counteract,4
1580,hallucinating,6
1581,tempted,2
1582,considered,4
1583,date,2
1584,massive,6
1585,anti,4
1586,caused,6
1587,relaxers,1
1588,triple,4
1589,stops,5
1590,nasty,4
1591,shout,4
1592,whyy,1
1593,club,2
1594,opened,5
1595,sheep,4
1596,physically,6
1597,notice,4
1598,expect,3
1599,booze,3
1600,jump,6
1601,prescribe,4
1602,survive,3
1603,blanket,5
1604,folks,1
1605,flying,1
1606,aspirin,4
1607,slumber,4
1608,sudden,2
1609,blessed,3
1610,texting,1
1611,needa,0
1612,cups,4
1613,ages,1
1614,alot,2
1615,pee,4
1616,deprived,1
1617,regularly,2
1618,bear,5
1619,bull,2
1620,risk,1
1621,jack,5
1622,mug,4
1623,laptop,5
1624,aha,2
1625,tip,4
1626,term,2
1627,debating,5
1628,falls,5
1629,cheap,4
1630,quiet,1
1631,atleast,3
1632,nails,4
1633,crush,3
1634,hungover,3
1635,developed,0
1636,nighty,0
1637,art,0
1638,napped,4
1639,peppermint,2
1640,freak,1
1641,meaning,5
1642,conversation,5
1643,perhaps,1
1644,wind,1
1645,camomile,2
1646,constantly,5
1647,instantly,4
1648,veins,3
1649,screen,0
1650,darn,2
1651,yoga,6
1652,upstairs,2
1653,chest,6
1654,spring,5
1655,garden,2
1656,mixing,4
1657,standing,2
1658,process,1
1659,listened,3
1660,packed,5
1661,math,6
1662,tryin,3
1663,pizza,6
1664,losing,3
1665,swears,1
1666,tonights,0
1667,hardest,6
1668,business,1
1669,darkness,4
1670,liver,1
1671,rum,2
1672,singing,5
1673,mode,1
1674,expired,2
1675,mint,4
1676,skip,1
1677,dangerous,6
1678,children,4
1679,uhh,3
1680,therefore,3
1681,gah,4
1682,codeine,3
1683,monster,6
1684,trazadone,2
1685,report,1
1686,spell,3
1687,proper,0
1688,bud,4
1689,brushed,5
1690,attacks,1
1691,sometime,3
1692,fails,2
1693,pot,2
1694,fam,3
1695,rate,6
1696,andand,2
1697,grams,2
1698,hid,5
1699,became,6
1700,momma,4
1701,breathing,4
1702,tan,0
1703,vicks,1
1704,hallucinate,3
1705,wednesday,6
1706,locked,4
1707,beauty,5
1708,men,6
1709,roll,1
1710,teas,4
1711,episodes,2
1712,million,0
1713,article,6
1714,breath,1
1715,hubby,5
1716,hes,1
1717,causes,6
1718,large,2
1719,beautiful,0
1720,laced,2
1721,symptoms,5
1722,major,1
1723,relationship,0
1724,tranquilizer,3
1725,nowhere,1
1726,walked,1
1727,hehe,4
1728,excitement,3
1729,interview,6
1730,sleepiness,0
1731,relaxing,3
1732,gnc,4
1733,ricola,2
1734,wat,4
1735,birds,2
1736,cycles,0
1737,toss,6
1738,creepy,1
1739,floating,2
1740,clear,0
1741,freaky,1
1742,generally,6
1743,effed,1
1744,yolo,5
1745,quality,5
1746,admit,2
1747,tuesday,0
1748,purchase,3
1749,therapy,5
1750,somewhat,5
1751,doe,3
1752,lotion,6
1753,grow,1
1754,cute,6
1755,mail,0
1756,yess,0
1757,carry,5
1758,autism,0
1759,mothers,1
1760,pregnant,3
1761,mental,5
1762,acting,4
1763,needing,5
1764,giant,2
1765,weve,4
1766,spend,5
1767,willing,0
1768,rem,5
1769,loved,5
1770,bouta,4
1771,hearing,1
1772,ceiling,6
1773,judge,5
1774,drown,2
1775,marathon,1
1776,neuro,6
1777,pants,1
1778,turkey,1
1779,relief,2
1780,hasnt,1
1781,sons,4
1782,shits,0
1783,known,0
1784,numb,2
1785,react,5
1786,pharmacist,2
1787,cake,5
1788,intake,2
1789,checked,4
1790,bomb,5
1791,babies,0
1792,melanoma,5
1793,forming,6
1794,stole,2
1795,pulled,1
1796,boat,0
1797,grumpy,1
1798,yawn,1
1799,elderberry,2
1800,fixing,0
1801,punch,0
1802,balls,1
1803,allow,5
1804,kiss,0
1805,sinus,4
1806,waste,5
1807,balm,5
1808,upped,4
